State_Name,Year,FY_Year,Month_Name,Month,Total_Revenue,Total_Volume_Liters,Total_Gallons
Wisconsin,2011.0,2012.0,July,7.0,4986237.54,61346063.248408705,16205923.07
Wisconsin,2011.0,2012.0,August,8.0,4383182.75,58927136.101726204,15566909.82
Wisconsin,2011.0,2012.0,September,9.0,4738239.15,55680023.7063087,14709113.07
Wisconsin,2011.0,2012.0,October,10.0,5093910.65,52778172.46248109,13942524.709999997
Wisconsin,2011.0,2012.0,November,11.0,4880342.359999999,55424878.97153131,14641710.930000002
Wisconsin,2011.0,2012.0,December,12.0,5098413.69,51024979.1265721,13479379.81
Wisconsin,2012.0,2012.0,January,1.0,4660358.680000001,47767565.229942895,12618861.689999998
Wisconsin,2012.0,2012.0,February,2.0,3548461.6799999997,44575503.143657,11775607.7
Wisconsin,2012.0,2012.0,March,3.0,3797028.03,43581632.391927,11513054.7
Wisconsin,2012.0,2012.0,April,4.0,4248264.960000001,52364755.1931117,13833311.37
Wisconsin,2012.0,2012.0,May,5.0,3993718.42,55135690.41689762,14565315.360000003
Wisconsin,2012.0,2012.0,June,6.0,5218553.6899999995,66261653.54805661,17504485.26
Wisconsin,2012.0,2013.0,July,7.0,6617632.69,64550484.20624129,17052441.929999996
Wisconsin,2012.0,2013.0,August,8.0,5165730.59,61920962.9664878,16357795.58
Wisconsin,2012.0,2013.0,September,9.0,5111298.96,57982922.471938506,15317474.850000001
Wisconsin,2012.0,2013.0,October,10.0,4269662.83,48523583.5297329,12818580.69
Wisconsin,2012.0,2013.0,November,11.0,5067605.050000001,52237155.8736038,13799603.18
Wisconsin,2012.0,2013.0,December,12.0,5812285.84,49918561.47322051,13187095.050000003
Wisconsin,2013.0,2013.0,January,1.0,4256702.99,42142061.10730821,11132760.020000001
Wisconsin,2013.0,2013.0,February,2.0,3252234.35,47751292.4715808,12614562.88
Wisconsin,2013.0,2013.0,March,3.0,4257789.15,47557851.3961133,12563461.129999999
Wisconsin,2013.0,2013.0,April,4.0,4970925.24,52031227.79046111,13745202.71
Wisconsin,2013.0,2013.0,May,5.0,4338751.69,52791061.36713602,13945929.600000003
Wisconsin,2013.0,2013.0,June,6.0,5355342.720000001,65605921.96398021,17331259.220000003
Wisconsin,2013.0,2014.0,July,7.0,5430680.27,59098556.53872531,15612194.330000002
Wisconsin,2013.0,2014.0,August,8.0,4771544.58,59659697.12424459,15760432.059999997
Wisconsin,2013.0,2014.0,September,9.0,4744519.42,55577460.7478539,14682018.79
Wisconsin,2013.0,2014.0,October,10.0,4486835.65,52377377.0749452,13836645.719999999
Wisconsin,2013.0,2014.0,November,11.0,6030720.26,57678091.95966509,15236947.109999998
Wisconsin,2013.0,2014.0,December,12.0,4725364.77,51654410.59046691,13645658.090000002
Wisconsin,2014.0,2014.0,January,1.0,4725027.83,46798144.365694694,12362767.669999998
Wisconsin,2014.0,2014.0,February,2.0,3526030.86,46363467.4388292,12247938.12
Wisconsin,2014.0,2014.0,March,3.0,4284851.67,50151675.4624848,13248677.28
Wisconsin,2014.0,2014.0,April,4.0,4491070.359999999,48720062.0181844,12870484.84
Wisconsin,2014.0,2014.0,May,5.0,4836483.4799999995,57687028.5555931,15239307.91
Wisconsin,2014.0,2014.0,June,6.0,5397371.58,64205311.02757984,16961256.78000001
Wisconsin,2014.0,2015.0,July,7.0,5938119.8100000005,67895638.2285555,17936138.55
Wisconsin,2014.0,2015.0,August,8.0,4538623.43,57829277.10896819,15276886.019999998
Wisconsin,2014.0,2015.0,September,9.0,4439399.26,58128640.31572449,15355969.449999997
Wisconsin,2014.0,2015.0,October,10.0,5247280.77,51032069.275210306,13481252.830000002
Wisconsin,2014.0,2015.0,November,11.0,5482730.41,55780723.78879431,14735715.230000002
Wisconsin,2014.0,2015.0,December,12.0,4249078.510000001,45784951.859264,12095110.4
Wisconsin,2015.0,2015.0,January,1.0,4881818.900000001,46897051.942982994,12388896.299999997
Wisconsin,2015.0,2015.0,February,2.0,3599545.4799999995,47205660.93795611,12470422.210000003
Wisconsin,2015.0,2015.0,March,3.0,4166020.1599999988,45829611.217945606,12106908.16
Wisconsin,2015.0,2015.0,April,4.0,5050464.1899999995,59690014.47293459,15768441.059999997
Wisconsin,2015.0,2015.0,May,5.0,5485968.06,40445557.16306081,10684590.88
Wisconsin,2015.0,2015.0,June,6.0,4682689.79,89410827.51760541,23619852.94
Wisconsin,2015.0,2016.0,July,7.0,5773270.389999999,59236097.8969113,15648528.93
Wisconsin,2015.0,2016.0,August,8.0,4419712.6899999995,61249311.99207281,16180364.080000002
Wisconsin,2015.0,2016.0,September,9.0,4623334.3,60835644.4692483,16071084.63
Wisconsin,2015.0,2016.0,October,10.0,5219629.170000001,53821935.675093114,14218257.910000004
Wisconsin,2015.0,2016.0,November,11.0,5836282.449999997,57399750.043137215,15163416.920000004
Wisconsin,2015.0,2016.0,December,12.0,5137219.470000001,52927403.96168319,13981947.519999998
Wisconsin,2016.0,2016.0,January,1.0,4484809.089999999,48371040.09961361,12778282.96
Wisconsin,2016.0,2016.0,February,2.0,3411964.7000000007,43345864.0731707,11450771.27
Wisconsin,2016.0,2016.0,March,3.0,4652228.71,45814107.844165996,12102812.599999998
Wisconsin,2016.0,2016.0,April,4.0,4711273.77,53421786.3056278,14112549.58
Wisconsin,2016.0,2016.0,May,5.0,4727675.47,55359720.89847182,14624497.980000004
Wisconsin,2016.0,2016.0,June,6.0,5741055.469999999,57509890.8246005,15192513.05
Wisconsin,2016.0,2017.0,July,7.0,6005489.82,61896650.18655623,16351372.820000006
Wisconsin,2016.0,2017.0,August,8.0,4380321.500000002,56582107.842626005,14947418.600000001
Wisconsin,2016.0,2017.0,September,9.0,4762751.34,61444783.637172505,16232002.25
Wisconsin,2016.0,2017.0,October,10.0,5648197.839999997,49433720.82299239,13059013.639999997
Wisconsin,2016.0,2017.0,November,11.0,5662368.219999997,51388057.44594999,13575294.999999996
Wisconsin,2016.0,2017.0,December,12.0,5324729.970000002,48273214.5439197,12752440.169999998
Wisconsin,2017.0,2017.0,January,1.0,5060619.370000003,44034705.95714331,11632744.13
Wisconsin,2017.0,2017.0,February,2.0,3918111.9400000004,43878307.69260461,11591428.060000002
Wisconsin,2017.0,2017.0,March,3.0,3811257.1199999996,39630800.353468,10469354.8
Wisconsin,2017.0,2017.0,April,4.0,5655114.4799999995,52119383.47845591,13768490.990000002
Wisconsin,2017.0,2017.0,May,5.0,4636445.6,57738118.795907296,15252804.53
Wisconsin,2017.0,2017.0,June,6.0,5984761.060000001,69610466.39626041,18389148.44
Wisconsin,2017.0,2018.0,July,7.0,6359023.29,65695083.9653694,17354813.34
Wisconsin,2017.0,2018.0,August,8.0,4161154.040000002,52553607.14032801,13883200.800000003
Wisconsin,2017.0,2018.0,September,9.0,5069525.000000002,57322701.35374799,15143062.799999997
Wisconsin,2017.0,2018.0,October,10.0,5207895.869999999,50570529.07271749,13359326.749999996
Wisconsin,2017.0,2018.0,November,11.0,5757479.890000005,56145232.5767571,14832008.31
Wisconsin,2017.0,2018.0,December,12.0,5136568.16,48281511.4812659,12754631.99
Wisconsin,2018.0,2018.0,January,1.0,5383991.059999999,19511936.803136203,5154510.82
Wisconsin,2018.0,2018.0,February,2.0,3474273.749999999,16831905.437151,4446521.1
Wisconsin,2018.0,2018.0,March,3.0,4967721.8500000015,100074277.70946388,26436839.789999995
Wisconsin,2018.0,2018.0,April,4.0,4966495.47,56486547.514130205,14922174.22
Wisconsin,2018.0,2018.0,May,5.0,5095152.180000001,31780702.229338907,8395577.290000001
Wisconsin,2018.0,2018.0,June,6.0,5589191.170000001,89053836.85673541,23525545.94
Wisconsin,2018.0,2019.0,July,7.0,6068884.39,63780384.97618741,16849003.14
Wisconsin,2018.0,2019.0,August,8.0,4995320.909999998,59294464.8687226,15663947.86
Wisconsin,2018.0,2019.0,September,9.0,5654760.039999997,60171175.13683119,15895550.319999997
Wisconsin,2018.0,2019.0,October,10.0,4961530.73,51116015.17088999,13503428.999999996
Wisconsin,2018.0,2019.0,November,11.0,5853698.2700000005,54006056.9197242,14266897.620000001
Wisconsin,2018.0,2019.0,December,12.0,5245773.01,36170687.669113,9555289.3
Wisconsin,2019.0,2019.0,January,1.0,5017090.49,67432532.34263262,17813798.860000007
Wisconsin,2019.0,2019.0,February,2.0,4229891.32,48781096.227735795,12886608.379999999
Wisconsin,2019.0,2019.0,March,3.0,4202781.7700000005,16856529.4156387,4453026.07
Wisconsin,2019.0,2019.0,April,4.0,4592485.2700000005,47027560.1229513,12423372.93
Wisconsin,2019.0,2019.0,May,5.0,4893730.62,88673871.40695243,23425169.640000004
Wisconsin,2019.0,2019.0,June,6.0,5935867.469999996,64408347.96598091,17014893.490000002
Wisconsin,2019.0,2020.0,July,7.0,6541023.81,62413822.1371566,16487995.26
Wisconsin,2019.0,2020.0,August,8.0,4577028.770000003,59338403.56104842,15675555.240000004
Wisconsin,2019.0,2020.0,September,9.0,5130976.16,40239708.952069096,10630211.509999998
Wisconsin,2019.0,2020.0,October,10.0,5378796.52,19563357.0176401,5168094.609999999
Wisconsin,2019.0,2020.0,November,11.0,6106627.12,105078153.34739912,27758724.51
Wisconsin,2019.0,2020.0,December,12.0,5560146.35,48926928.2773415,12925133.15
Wisconsin,2020.0,2020.0,January,1.0,5381202.19,46776066.8703681,12356935.41
Wisconsin,2020.0,2020.0,February,2.0,4486572.35,49615899.0545246,13107140.059999999
Wisconsin,2020.0,2020.0,March,3.0,4187615.1,45735149.112599,12081953.9
Wisconsin,2020.0,2020.0,April,4.0,5095415.62,53948754.67018361,14251759.96
Wisconsin,2020.0,2020.0,May,5.0,4787296.13,44130020.953217,11657923.7
Wisconsin,2020.0,2020.0,June,6.0,5219123.720000001,57714114.489036605,15246463.26
Wisconsin,2020.0,2021.0,July,7.0,7351420.209999999,81357400.9406511,21492361.71
Wisconsin,2020.0,2021.0,August,8.0,6170526.52,66706545.3280989,17622013.29
Wisconsin,2020.0,2021.0,September,9.0,6612539.82,51704408.3993092,13658866.120000001
Wisconsin,2020.0,2021.0,October,10.0,6920814.58,66283661.9217966,17510299.259999998
Wisconsin,2020.0,2021.0,November,11.0,6581168.17,64190786.0308688,16957419.68
Wisconsin,2020.0,2021.0,December,12.0,5756045.76,52127085.27364191,13770525.590000002
Wisconsin,2021.0,2021.0,January,1.0,5649627.32,54568403.0069121,14415453.809999999
Wisconsin,2021.0,2021.0,February,2.0,4838125.69,45373133.509224504,11986319.450000001
Wisconsin,2021.0,2021.0,March,3.0,4967652.8,42410160.915707305,11203584.530000001
Wisconsin,2021.0,2021.0,April,4.0,6374886.04,55603781.990623295,14688972.129999999
Wisconsin,2021.0,2021.0,May,5.0,7386757.26,65715578.70506679,17360227.479999997
Wisconsin,2021.0,2021.0,June,6.0,5461990.68,56100380.351436004,14820159.6
Wisconsin,2021.0,2022.0,July,7.0,5461990.68,68034117.1570903,17972720.830000002
Wisconsin,2021.0,2022.0,August,8.0,6172323.24,64121981.8887514,16939243.54
Wisconsin,2021.0,2022.0,September,9.0,6134339.5,65122532.3749674,17203561.14
Wisconsin,2021.0,2022.0,October,10.0,6480556.04,55763133.1020866,14731068.26
Wisconsin,2021.0,2022.0,November,11.0,6095145.5,56216298.614911795,14850781.979999999
Wisconsin,2021.0,2022.0,December,12.0,6228039.23,54402093.857619606,14371519.56
Wisconsin,2022.0,2022.0,January,1.0,5830650.17,55067829.86393091,14547388.490000002
Wisconsin,2022.0,2022.0,February,2.0,4783553.87,50532492.8944965,13349278.65
Wisconsin,2022.0,2022.0,March,3.0,4991558.59,49128275.18159401,12978323.4
Wisconsin,2022.0,2022.0,April,4.0,6415525.930000001,59338431.686644696,15675562.669999998
Wisconsin,2022.0,2022.0,May,5.0,7196094.21,58289867.93063301,15398561.3
Wisconsin,2022.0,2022.0,June,6.0,6350408.12,57319329.19695771,15142171.97
Wisconsin,2022.0,2023.0,July,7.0,7091058.029999999,62246982.3112362,16443920.82
Wisconsin,2022.0,2023.0,August,8.0,5845585.550000001,62787354.699039705,16586672.17
Wisconsin,2022.0,2023.0,September,9.0,7280153.949999997,66141245.750466704,17472676.87
Wisconsin,2022.0,2023.0,October,10.0,6771373.9,52808697.403055504,13950588.55
Wisconsin,2022.0,2023.0,November,11.0,6639400.12,57271354.72761451,15129498.450000001
Wisconsin,2022.0,2023.0,December,12.0,6330512.69,47766215.5041533,12618505.129999999
Wisconsin,2023.0,2023.0,January,1.0,5080258.76,44039825.989147,11634096.7
Wisconsin,2023.0,2023.0,February,2.0,5570263.3100000005,45032448.009826206,11896319.82
Wisconsin,2023.0,2023.0,March,3.0,4858839.73,38771918.79864791,10242462.190000001
Wisconsin,2023.0,2023.0,April,4.0,6588780.18,50667985.8916233,13385072.13
Wisconsin,2023.0,2023.0,May,5.0,6064392.48,57014031.94363131,15061520.930000002
Wisconsin,2023.0,2023.0,June,6.0,8338231.890000001,62192750.7862876,16429594.36
Wisconsin,2023.0,2024.0,July,7.0,8273055.11,61545124.3328327,16258509.47
Wisconsin,2023.0,2024.0,August,8.0,6338757.34,55738857.9491304,14724655.44
Wisconsin,2023.0,2024.0,September,9.0,7035911.36,59768850.5950717,15789267.370000001
Wisconsin,2023.0,2024.0,October,10.0,6280938.14,45902264.8570543,12126101.23
Wisconsin,2023.0,2024.0,November,11.0,6750342.29,52792018.58376271,13946182.470000003
Wisconsin,2023.0,2024.0,December,12.0,6416027.399999999,45617545.81171581,12050886.380000003
Wisconsin,2024.0,2024.0,January,1.0,5438598.51,41463673.2387162,10953548.82
Wisconsin,2024.0,2024.0,February,2.0,4632809.74,45274494.544629805,11960261.780000001
Wisconsin,2024.0,2024.0,March,3.0,5380126.119999999,51585927.110430606,13627566.66
Wisconsin,2024.0,2024.0,April,4.0,5610057.539999999,50383161.3847622,13309829.419999998
Wisconsin,2024.0,2024.0,May,5.0,7424709.720000001,61351225.1849011,16207286.71
Wisconsin,2024.0,2024.0,June,6.0,7584677.75,60562103.8910562,15998822.82
Wisconsin,2024.0,2025.0,July,7.0,7414529.09,62996782.620852,16641997.2
Wisconsin,2024.0,2025.0,August,8.0,6621706.73,52671547.0398684,13914357.24
Wisconsin,2024.0,2025.0,September,9.0,8082079.2700000005,65133464.298360504,17206449.05
Wisconsin,2024.0,2025.0,October,10.0,6716214.92,50738349.395536095,13403660.209999999
Wisconsin,2024.0,2025.0,November,11.0,7847720.800000001,48749262.4816539,12878198.79
Wisconsin,2024.0,2025.0,December,12.0,5974199.5,46394227.869759694,12256064.169999998
Wisconsin,2025.0,2025.0,January,1.0,6393729.73,43483236.829195306,11487061.330000002
Wisconsin,2025.0,2025.0,February,2.0,5334886.5600000005,45087499.341018505,11910862.850000001
Wisconsin,2025.0,2025.0,March,3.0,6586589.6,33791707.8784523,8926829.03
Wisconsin,2025.0,2025.0,April,4.0,5374504.29,47534488.7540917,12557289.370000001
Wisconsin,2025.0,2025.0,May,5.0,7337812.37,53967231.104977205,14256640.92
Wisconsin,2025.0,2025.0,June,6.0,7619259.15,62063671.030782804,16395495.08
Wisconsin,2025.0,2026.0,July,7.0,7388168.38,63017340.4633341,16647428.01
Wisconsin,2025.0,2026.0,August,8.0,8399739.41,59859412.176100194,15813191.219999999
Wisconsin,2025.0,2026.0,September,9.0,6787107.75,51510266.3037638,13607579.18
Wisconsin,2025.0,2026.0,October,10.0,7080087.869999999,47359231.0091215,12510991.15
